n1: c12,c78,
n2: c190,c57,c76,c80,
n3: c191,c59,
n4: c191,c53,c57,c66,c68,c72,c74,c81,c82,c83,c86,
n5: c191,c50,c58,c71,c72,c80,c84,c85,
n6: c191,c68,c83,
n7: c191,c55,c60,c61,c77,
n8: c36,c49,
n9: c49,c69,c75,
n10: c49,c59,
n11: c50,c78,c79,
n12: c33,c51,
n13: c51,c52,
n14: c51,c81,
n15: c51,c79,
n16: c52,c55,c73,
n17: c53,c55,
n18: c53,c74,c84,
n19: c54,c78,
n20: c54,c58,c83,
n21: c10,c55,
n22: c55,c70,
n23: c56,c77,
n24: c56,c74,
n25: c57,c63,c67,
n26: c57,c62,c65,c71,c82,
n27: c58,c61,
n28: c35,c61,
n29: c61,c64,c78,
n30: c63,c69,
n31: c63,c64,c82,
n32: c63,c76,c83,
n33: c65,c72,c79,c81,
n34: c66,c69,
n35: c66,c73,c80,
n36: c67,c70,
n37: c71,c74,
n38: c72,c75,
n39: c11,c75,
n40: c8,c77,
n41: c156,c173,c86,
n42: c156,c159,
n43: c157,c158,c176,c60,c62,c84,
n44: c157,c158,
n45: c158,c159,c160,c161,c179,
n46: c158,c169,
n47: c159,c182,
n48: c160,c164,
n49: c161,c170,
n50: c162,c164,
n51: c162,c165,c166,c180,c187,
n52: c163,c164,
n53: c2,c163,c168,c177,c179,c183,c187,c189,c99,c247,c256,c258,c262,c266,c268,c140,c144,c150,c336,c343,c344,c348,c225,c230,c239,c241,c286,c290,c292,
n54: c27,c163,
n55: c163,c186,
n56: c163,c167,c168,c175,c177,
n57: c165,c169,
n58: c166,c170,
n59: c167,c169,
n60: c167,c174,c181,c185,
n61: c167,c176,c185,
n62: c168,c170,
n63: c168,c172,
n64: c4,c168,
n65: c169,c189,
n66: c171,c174,
n67: c171,c186,c188,
n68: c171,c173,c181,
n69: c174,c177,
n70: c175,c183,
n71: c177,c182,
n72: c5,c177,
n73: c178,c187,
n74: c178,c183,c185,c203,c208,c210,c212,
n75: c179,c210,
n76: c180,c182,
n77: c184,c186,
n78: c28,c189,
n79: c99,c265,
n80: c99,c246,c247,c254,c256,
